Screen name,Name,NYT followers,All followers,Following ,Location,Bio
FrankBruni,Frank Bruni,280,255730,400,"New York, NY","NYT columnist, food lover and book author, including the upcoming Where You Go Is Not Who You'll Be: An Antidote to the College Admissions Mania (March 17)"
washingtonpost,Washington Post,271,4038901,1159,"Washington, D.C.","Tweets about everything from breaking news to bad restaurants. Sometimes global, sometimes local. Led by @hermanywong and @MiGold."
jodikantor,jodikantor,268,27571,1550,NYC,"NY Times reporter. Wrote The Obamas, about the 1st couple in the White House. Mom. Hearts the guy/book at http://t.co/SHVJNsSJ79. Pays chocolate for story tips."
NYTMetro,NYT Metro Desk,267,100509,305,New York City,"Breaking news and headlines from the New York Times Metro desk, including the City Room blog, the daily New York report and the Sunday Metropolitan section."
nytopinion,NYT Opinion,265,142709,1400,"NYC, London, Paris, Hong Kong","Editorials, columns, Op-Ed essays, letters, blog posts, more from @nytimes. opinion@nytimes.com."
NYTimeskrugman,Paul Krugman,263,1309170,2,New York City,"Nobel laureate. Op-Ed columnist, @nytopinion. Author, “The Return of Depression Economics,” “The Great Unraveling,” “The Age of Diminished Expectations” + more."
peterlattman,Peter Lattman,263,15868,910,New York,"Deputy Business Editor, The New York Times. Naturally Gluten-Free."
bittman,Mark Bittman,262,479206,103,New Yawk,"Writer, New York Times; author, How to Cook Everything, The VB6 Cookbook, etc. Note: RT is not an endorsement; sarcasm in use."
cliffordlevy,Clifford Levy,262,5572,374,New York City,"Associate Managing Editor, @nytimes. Mobile-ist. Editorial lead on NYT Now. Two-time Pulitzer winner. Former Moscow buro chief."
TheAtlantic,The Atlantic,259,914233,948,"Washington, D.C.","Politics, culture, business, science, technology, health, education, global affairs, more. Account managed by @jakeswearingen."
jakesilverstein,Jake Silverstein,258,11253,753,New York City,Editor in Chief of The New York Times Magazine; formerly at Texas Monthly; author of Nothing Happened and Then It Did
StephenAtHome,Stephen Colbert,256,7481441,1,,pollywog
Longreads,Longreads,255,158545,10073,NYC / SF,"The world's best storytelling, since 2009. Use #longreads to share your favorite stories. Part of the @Automattic @WordPressdotcom family."
MarkLeibovich,Mark Leibovich,254,32948,601,.,"Chief National Correspondent, New York Times Magazine, based in Washington, DC. Author of This Town, http://t.co/fSuxyoNaRp"
TheEconomist,The Economist,251,7346987,117,London,"News and analysis with a global perspective. Follow for article updates, events and news from The Economist. To subscribe go to: http://t.co/VJbacSdRCj"
peterbakernyt,Peter Baker,251,29655,1208,,"Chief White House Correspondent, NY Times. Proud husband of Susan Glasser, Editor of Politico. Author of Days of Fire: Bush & Cheney in the White House"
jmartNYT,Jonathan Martin,250,84456,4431,"The 703, 202 or on the road","Nat'l Political Correspondent, NY Times. Husband of the incomparable @bfischermartin. Email - http://t.co/YoeNWgfj4W"
rudoren,Jodi Rudoren,250,15263,1033,Jerusalem,"Jerusalem bureau chief of NYT, mother of twins born 9/07. Yale 92 NNHS 88. Tweets mean hey, look at this, nothing more."
adamnagourney,adam nagourney,250,13358,601,,"LA Bureau Chief for The New York Times. Like newspapers, politics, food, music, NY, LA . Ideas (and criticism) welcome at adamnag@nytimes.com"
nybooks,NY Review of Books,249,817349,746,New York,‘The premier literary-intellectual magazine in the English language.’
davidfolkenflik,David Folkenflik,247,40060,1368,"New York, N.Y.","NPR media correspondent || 
 Author, Murdoch's World"
nickbilton,Nick Bilton,246,243613,899,LA,"Columnist, The New York Times. Author of the NYT Best Seller, Hatching Twitter."
BarackObama,Barack Obama,244,54729797,644822,"Washington, DC",This account is run by Organizing for Action staff. Tweets from the President are signed -bo.
nytpolitics,NYT First Draft,244,134823,217,Washington Bureau,"A fast-paced feed of news, analysis and dispatches from The Times political team. 
 
 
 
 Sign up for the First Draft email: http://t.co/KG4bSYjOtn"
amychozick,Amy Chozick,243,14888,1407,"New York, NY",Political reporter for The New York Times. Hillary Clinton chronicler. Former Tokyo correspondent. Native Texan. Email me at amy.chozick@nytimes.com
NYTmag,NYT Magazine,242,117701,80,"New York, NY","Features, columns, style and food coverage from The New York Times Sunday Magazine."
rickberke,Rick Berke,242,3375,284,"Washington, D.C.",Journalist
aoscott,a. o. scott,236,53335,1064,,"film critic, NY Times"
cnnbrk,CNN Breaking News,235,23937824,113,Everywhere,"Breaking news from reporters and editors on the CNN Digital news team. Now 23M strong. Check @cnn for all things CNN, breaking and more."
BBCBreaking,BBC Breaking News,234,13498910,3,"London, UK","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
motokorich,Motoko Rich,234,17238,1652,New York,"New York Times national K-12 education reporter. Back in the day: covered economics, book publishing, real estate. Still interested in all of it. WSJ, FT alum."
HillaryClinton,Hillary Clinton,233,2800108,9,New York,"Wife, mom, lawyer, women & kids advocate, FLOAR, FLOTUS, US Senator, SecState, author, dog owner, hair icon, pantsuit aficionado, glass ceiling cracker, TBD..."
AshleyRParker,Ashley Parker,233,37178,1692,,I remain skeptical about Twitter.
jonathanlandman,Jonathan Landman,233,21445,723,"New York, New York","@BloombergNews & @BV, Home of the QuickTake"
SashaK,Sasha Koren,232,7121,2023,NYC,"Editor/journalist. Proud alum of @nytimes in social/community, features, opinion, product, NYToday. West Sider. Keeper of small domestic zoo. Eyes open."
nytimesworld,New York Times World,231,955805,409,"New York, NY",World news from The New York Times. Follow our editors and correspondents here: http://t.co/dZjTQkxoyM
nprnews,NPR News,230,3300369,73994,"Washington, DC",News. Arts & Life. Music. Everything and more from NPR.
andrewrsorkin,Andrew Ross Sorkin,230,479374,1615,"New York, New York","New York Times Columnist & CNBC Squawk Box (@SquawkCNBC) Co-Anchor. Author, Too Big To Fail. Founder, @DealBook. Proud father. RTs ≠ endorsements"
ggreenwald,Glenn Greenwald,230,466632,998,,"Journalist with @The_Intercept - author, No Place to Hide - dog/animal fanatic - email/PGP public key (https://t.co/uJnK90oulZ)"
TomJolly,Tom Jolly,230,16519,815,"Manhattan / North Bergen, NJ","Associate Masthead Editor at The New York Times. NYT Sports Editor, 2003-11. Roots in Pittsburgh."
powellnyt,Michael Powell,230,8735,1444,New York City,"NYT Sports of the Times columnist. Former NYC cabbie, tenant organizer & doorman. Grew up UWS, live Brooklyn. Father 2 boyz."
DanBarryNYT,Dan Barry,229,5174,912,Here and There,This Land columnist for the NY Times. The guy who looks out of place no matter where he is.
lheron,Liz Heron,228,47464,2973,,"I oversee News Partnerships at @Facebook. New mom, Brooklynite. Priors: @WSJ, @NYTimes, @WashingtonPost. lizheron[@]http://t.co/OPx2oTKls7"
jwpetersNYT,Jeremy W. Peters,228,13873,395,"Washington, D.C.","Reporter, The New York Times"
crampell,Catherine Rampell,227,51251,400,Here and there. Usually NYC.,Opinion columnist at @washingtonpost. Previously econ reporter/moonlighting theater critic at @nytimes.
jayrosen_nyu,Jay Rosen,226,149373,920,New York City,"I teach journalism at NYU, direct the Studio 20 program there, critique the press and try to understand digital logic. I also advise media companies sometimes."
NYMag,New York Magazine,225,708164,852,"New York, NY","Defining the news, culture, fashion, food, and personalities that drive New York."
Slate,Slate,224,1295045,524,,"Politics, culture, technology, business, news, and commentary. Procrastinate better."
kimseverson,Kim Severson,224,74463,717,"Atlanta, Georgia","Domestic correspondent for The New York Times. Hunting for food, news and recipes. http://t.co/bKGPo5x7JW and http://t.co/SwIG9tE0wi"
NYTOnIt,The Times Is On It,223,39339,14,New York City,Because sometimes stories in newspapers are just *that* obvious. (This is a parody account clearly not associated with any newspaper.)
ddknyt,David D. Kirkpatrick,223,33518,953,Cairo,"Cairo Bureau Chief and Mideast Correspondent, The New York Times. I like to tweet NYT articles about the region by my colleagues, including those in DC"
HugoLindgren,HugoLindgren,222,13841,934,New York City & Venice Beach,Page 1
jeffzeleny,Jeff Zeleny,221,70011,1266,,ABC News Senior Washington Correspondent
Julesm_b,Julie Bloom,219,5674,2080,New York,"Senior Deputy Editor, The New York Times"
michaelroston,Michael Roston,218,10093,925,"Gramercy Park, New York",Senior staff editor for social media @nytimes. Star of the second screen.
jenny8lee,Jennifer 8. Lee,217,49714,5831,Out and about,"Co-founder of @plympton/@rooster. Producer @generaltsomovie. Also @upworthy, @newsdiffs, @hackshackers. Past: @nytimes, fortune cookies. jenny@jennifer8lee.com"
DwightGarner,Dwight Garner,217,28025,1135,,Senior writer and book critic for the New York Times.
fmanjoo,Farhad Manjoo,216,86660,2193,"Palo Alto, CA",I write about technology for the New York Times. Anyone can DM me. I prefer DM PR pitches. farhad.manjoo@nytimes.com
HirokoTabuchi,Hiroko Tabuchi,216,80594,6643,New York,"New York Times reporter. Foodie, bookworm. Part of Pulitzer Prize winning & finalist teams,'13 &'12. Ex-Tokyoite, LSE grad. Kobe born & raised."
pete_wells,Pete Wells,216,78271,645,Undisclosed location(s),Corporate rustic.
jimrutenberg,jimrutenberg,215,7390,1994,BKLYN-East End L.I.,"Chief Political Correspondent, NYT Magazine"
Reuters,Reuters Top News,212,6119925,1048,Around the world,"Top and breaking news, pictures, and videos from Reuters."
pilhofer,Aron Pilhofer,212,15160,1145,"London, UK",Executive editor of digital at the @Guardian. Proud @nytimes alum. Co-founder of @documentcloud & @HacksHackers. Corinthian yachtsman.
politico,POLITICO,211,1098426,962,"Washington, D.C.",Nobody knows politics like POLITICO.
Rueby,ES Rueb,211,6107,1671,"New York, NY","@nytmetro editor; hawks, birds, bees; #metdiary; real mayors of new york; photo-taker for http://t.co/R0YnYENf6G."
ABarnardNYT,Anne Barnard,210,23658,1316,"Beirut, Lebanon","NYTimes Beirut bureau chief, cover Syria, Middle East. Former Boston Globe Iraq-ME buro chief. Russia hand. Mother. New Yorker. RT=look!"
coopnytimes,Michael Cooper,210,9668,927,New York,"Reporter covering classical music and dance for The New York Times. Previously politics, urban affairs, the downturn, New York, crime, general mayhem..."
BreakingNews,Breaking News,209,7304997,519,Global,"Get our free iOS or Android app to unlock more updates, see news near you and customize your own alerts..."
WhiteHouse,The White House,206,5825152,195,"Washington, DC",Follow for the latest from President Obama and his administration. Tweets from the President are signed –bo. Tweets may be archived: http://t.co/KcS2bmEJun.
NYTnickc,Nick Corasaniti,206,2671,1084,"Washington, D.C.","First Drafter at New York Times Washington Bureau. Also, I surf & like sandwiches. NYCer at heart, future Hawaii resident. corasan@nytimes.com"
andylocal,Andy Newman,205,11721,613,"Bk, Bx, Manh, Qns, S.I.","NYT metro reporter since '97, now doing The Times's New York Today column."
rupertmurdoch,Rupert Murdoch,204,561084,94,,
RobertMackey,Robert Mackey,204,15558,1132,New York,"Currently writing @NYTOpenSource column for @nytimesworld. 2,124 things I mentioned earlier: http://t.co/hLxpLYNUk0"
tanzinavega,Tanzina Vega,204,11095,2996,New York City,Native New Yorker. New York Times reporter. Contact tanzina@nytimes.com
jestei,jennifer steinhauer,204,4752,867,Washington DC,I write newspaper articles about places in the MidAtlantic region. Bourbon is my favorite food group.
NYTOpenSource,NYT Open Source,203,45055,86,"New York, NY",Open Source is a web-only column for @nytimesworld written by @RobertMackey.
adamliptak,Adam Liptak,203,21608,301,,Supreme Court reporter for The New York Times
rcallimachi,Rukmini Callimachi,203,14228,1406,"New York, New York","Foreign correspondent for The New York Times, focusing on al-Qaeda and Islamic extremism. Previously West Africa bureau chief for The Associated Press."
meslackman,Michael Slackman,203,3889,565,New York City,"International Managing Editor for The New York Times. Previously posted in Cairo, Berlin, Moscow, Albany and Melville, Long Island Retweets are not endorsements"
felixsalmon,Felix Salmon,201,146259,1521,"ÜT: 40.722909,-73.981973","To test the resolution of the young with tales of the small failings of the great, and shame the eager with ironic praise."
AnnieLowrey,Annie Lowrey,201,41568,874,Washington,I write about the economy for @nymag.
TylerHicksPhoto,Tyler Hicks,201,29937,25,Kenya,Staff Photographer for The New York Times.
fstonenyt,David Firestone,201,6163,947,New York,"Former New York Times reporter, editor, and editorial board member. (Brooklyn, ex-K.C.)"
voxdotcom,Vox,200,204294,107,,Understand the news.
mlcalderone,Michael Calderone,200,41087,1086,"Brooklyn, NY",Huffington Post senior media reporter; NYU adjunct professor michael.calderone@huffingtonpost.com
FiveThirtyEight,FiveThirtyEight,199,425083,170,"New York, NY","The home of Nate Silver's FiveThirtyEight on Twitter. Politics, Economics, Science, Life, Sports."
blakehounshell,Blake Hounshell,199,91973,3643,Washington,"Editorial director, digital, at POLITICO, formerly at Foreign Policy. Mostly international, some politics. RT means it's interesting. bhounshell[at]politico"
dickstevenson,Dick Stevenson,199,6822,492,,"Editor, Europe/The New York Times/International NYT"
louisestory,Louise Story,198,22496,1414,New York City,"Reporter, New York Times. Tweets mostly about the media, great stories I spot, stories I write & business news. Member of Times' Innovation Committee(9/13-5/14)"
NYTArchives,NYT Archives,197,31458,55,"New York, NY",Highlights from the 163-year-old archive of The New York Times. Links to TimesMachine are publicly available for seven days after we tweet them.
ditzkoff,Dave Itzkoff,196,36975,900,the holy goddam New York Times,"'As a Jew, I'm very judgmental. 
 
 As a street Jew, doubly so.'' 
 
  --Sidney Lumet"
grynbaum,Mike Grynbaum,195,8146,743,"New York, NY","New York Times, City Hall Bureau Chief. Twitter dot com, @grynbaum Bureau Chief."
dansaltzstein,Dan Saltzstein,194,14544,1716,"Woodside, NY","Editor at The New York Times Travel section. “It's a big world, and I really like it.” -- George Saunders, who can do no wrong."
EllenBarryNYT,Ellen Barry,193,14660,1104,New Delhi,"South Asia bureau chief for The New York Times, longtime Moscow correspondent, retweets are not endorsements. Write me at ebarry@nytimes.com."
nytimesphoto,NYT Photo,192,809331,439,New York,Tweeting about photography and visual journalism in the news and on our radar. Contact us: lensnytimes@gmail.com. Banner photo: @gdemczuk
BBCWorld,BBC News (World),191,8838910,61,"London, UK","World News, features and analysis (http://t.co/JnU7o4nQJx). For UK news, follow @BBCNews. For breaking news, follow @BBCBreaking. Latest sport news @BBCSport."
RachelDonadio,Rachel Donadio — NYT,190,9518,1447,,"Culture Correspondent for the New York Times, based in Paris. Previously Rome Bureau Chief. I write in English, je vis en Français, ma sogno sempre in Italiano."
frankrichny,Frank Rich,189,65184,1012,NYC,"Writer-at-Large, NEW YORK / Executive Producer, VEEP (HBO)"
Gawker,Gawker,188,501787,668,,Today's gossip is tomorrow's news
Poynter,Poynter,187,122819,1501,"St. Petersburg, Fla.","School for journalism & democracy, with tweets by @kristenhare, @benmullin & @sliss33"
nytimescollins,Gail Collins,187,41675,26,New York City,"Op-Ed columnist, @nytopinion. Author of “When Everything Changed: The Amazing Journey of American Women from 1960 to the Present,” “As Texas Goes…” and more."
MichaelSSchmidt,Michael S. Schmidt,187,4541,1206,Washington D.C.,Reporter for The New York Times in Washington.
page88,Virginia Heffernan,186,27818,9540,Brooklyn,"Columnist, NYTM. Editorial Director, West. Visiting Scholar, NYU. Magic + Loss: The Pleasures of the Internet, out 8/15 from Simon & Schuster."
Wendo20,Wendell Jamieson,186,2130,414,,"NYT Metro Editor. Worked for four major papers in NYC. (NY Newsday, RIP). Grew up in Park Slope. 2 kids in public schools. Married 20 years"
nytmedia,NYT Media,185,58984,129,"New York, NY","Links to breaking news, commentary and analysis about the media and advertising industries by The New York Times."
maggieNYT,Maggie Haberman,185,53911,1885,,RTs don't necessarily mean agreement.
viaSimonRomero,Simon Romero,185,14837,1860,Brazil,"New York Times bureau chief in Brazil, covering LatAm's Southern Cone. Instagram: simongromero. New Mexico born & raised. Eternal question: red or green?"
tarangoNYT,Tim Arango,185,11662,1019,,I am the Baghdad Bureau Chief of The New York Times.
guardian,The Guardian,184,3252232,1084,London,"Top stories, special features, live blogs and more"
NYTimesDowd,Maureen Dowd,184,128377,71,"Washington, DC","Op-Ed columnist, Pulitzer Prize winner, @nytopinion. Author, “Bushworld: Enter at Your Own Risk” and “Are Men Necessary?: When Sexes Collide.”"
BeschlossDC,Michael Beschloss,184,118463,1305,Biographical:,"Presidential Historian, 9 books. Contributor, @NBCNews, PBS @NewsHour. Born Chicago. Williams College. New York Times Columnist (HistorySource, incl. sports)"
greenhousenyt,Steven Greenhouse,184,21091,225,New York,"Long-time labor reporter for New York Times. Author of “The Big Squeeze” about American workers. Follows politics, economics, education, human rights"
PamelaPaulNYT,Pamela Paul,183,17299,507,New York,Editor of The New York Times Book Review. On the production and consumption of culture. Some mutterings.
shearm,Michael D. Shear,183,14505,885,,White House Correspondent The New York Times
jdavidgoodman,jdavidgoodman,183,7260,1011,New York City,Covering the cops for The New York Times from a windowless office in 1 Police Plaza.
LaSharah,LaSharah Bunting,183,2431,1751,New York,"Senior editor for digital training and recruitment, The New York Times. Past: web and assignment editor at The Times. Raised in Nebraska, but Harlem is home."
lenadunham,Lena Dunham,182,2042817,682,bedridden,hermit about town
nytvideo,New York Times Video,182,65600,369,"New York, NY",Official feed of videos published by The New York Times. Sign up for our weekly newsletter: http://t.co/Sboybb2IfS
sergenyt,Serge Kovaleski,182,2970,443,New York City,Culture & Arts Correspondent and Investigative Reporter at The New York Times. Please contact at kovaleski@nytimes.com with any important culture stories.
billclinton,Bill Clinton,181,2948946,10,"New York, NY","Founder, Clinton Foundation and 42nd President of the United States. Follow @clintonfdn for more on my work around the world."
drewvigal,Andrew DeVigal,181,17445,2526,"Portland, OR","Chair in Journalism Innovation & Civic Engagement, @UOsojc | Co-founder, @a4thact | alumnus: @NYTimes, @SecondStory"
thejoesexton,joseph sexton,181,1043,462,new york,Senior editor @ProPublica. Foul mouth. Big heart. Likes to go hard.
SarahMaslinNir,Sarah Nir,180,6758,699,"@ueens, New York",Reporter and Columnist for The New York Times
RyanLizza,Ryan Lizza,179,42802,1937,D.C.,"write for @newyorker, talk on @cnn, teach at @georgetown"
hillhulse,carl hulse,179,16174,1005,"Washington, D.C.","Chief Washington Correspondent of
 
 The New York Times; First Drafter"
chaughney,Christine Haughney,179,6078,1997,New York City,"Independent journalist. Former New York Times, Wall Street Journal, Washington Post.Can be reached at ChristineHaughneyDB@gmail.com"
Jeffdelviscio,Jeff DelViscio,179,3164,1515,,"Doing stuff for @qz & @Timeline_Now. Formerly @nytimesscience, @nytimesworld & a lot of other @nytimes stuff."
stephcliff,Stephanie Clifford,178,12986,993,New York,"NYT reporter by day, covering Brooklyn courts; novelist by very early day (EVERYBODY RISE, coming in August from St. Martin's Press). sclifford@nytimes.com."
sullydish,Andrew Sullivan,175,118135,82,Provincetown,Follow all Dish posts @dishfeed
emilynussbaum,emilynussbaum,175,66576,900,,TV Critic for The New Yorker. Has wi-fi.
comradewong,Edward Wong,175,31946,631,Beijing,Beijing Bureau Chief for The New York Times. Former Iraq correspondent. Retweet is not an endorsement and opinions are my own.
NYTimesComm,NYTCo Communications,175,24190,1106,"New York, NY","News from NYT's PR team - @NYTeileen, @daniellerha, @lindazebian, @S_Yera, @jorcohen, @tayloff & @EdwardBohan"
jeligon,John Eligon,175,3984,893,"Kansas City, MO",Midwest Correspondent for The New York Times based in Kansas City
ShreeyaSinha,Shreeya Sinha,174,16248,1441,New York,Senior digital editor at @nytimes International desk | Fmr Adjunct Prof @cunyjschool | Of @asiasociety @mediastorm | Raised in Nigeria Zimbabwe Vietnam & India
BCAppelbaum,Binyamin Appelbaum,173,26495,664,"Washington, DC",Washington correspondent for The New York Times. bappelbaum@nytimes.com
charlie_savage,Charlie Savage,173,16776,1235,"Washington, D.C.",New York Times reporter http://t.co/YZkBls4zLM; author of the book Takeover http://t.co/vTRqleyEu8; PGP public key http://t.co/krDL3FMVSA
campbellnyt,Campbell Robertson,173,4192,738,New Orleans,Southern correspondent for The New York Times
MikeBloomberg,Mike Bloomberg,172,677614,283,New York City,"Entrepreneur, philanthropist, and three-term mayor of New York City"
clairecm,Claire Cain Miller,172,68897,1238,sf | pacific nw at heart,"@nytimes reporter covering tech + gender/work/family for @UpshotNYT,
 
 foodie, féministe"
bydanielvictor,Daniel Victor,172,14738,2192,"New York, NY","I write the things for Watching on the @nytimes home page. PSU alum, @ONANYC co-organizer. Here's a joke to show how casual and hip I am."
herszenhorn,David M. Herszenhorn,172,9051,314,dahers@nytimes.com,"New York Times reporter based in Moscow, covering Russia, Ukraine, Crimea, Caucasus, Baltics, Central Asia, И.Т.Д. - Корреспондент, Нью-Йорк Таймс"
SteveMartinToGo,Steve Martin,171,5625086,113,Texas tour at end of July!,Currently on a Twitter sparseness and work hiatus so I can actually work.
JBennet,James Bennet,170,11344,903,Washington,"editor in chief, The Atlantic"
DavidBarboza2,David Barboza,169,16523,727,Shanghai,I'm the Shanghai Bureau Chief of The New York Times
fionaspruill,Fiona Spruill,169,7437,1039,,VP Product @Meetup. Former @NYTimes editor for mobile and web.
jimdao,Jim Dao,169,4536,832,New York City,"New York Times deputy national editor. At War blog. Husband, father, cyclist, usually in that order. RTs do not = endorsements, unless they do."
mattyglesias,Matt Yglesias,168,130423,501,"Washington, DC",Executive Editor at Vox.
